gene,condition,Log2FC,Mean,FDR,Pval,MeanDiff,AUC,MeanBGD
SLC16A11,CTRL,-0.966422766451534,0.258891587406348,0.00490165467125201,0.000367713206936858,-0.248895515831386,0.462343349300818,0.507787103237734
KCNAB3,CTRL,0.654246535898282,0.556473807468387,0.047020350505143,0.00771578992291715,0.203618427833171,0.532118433573652,0.352855379635216
TRAPPC1,CTRL,0.687862924566414,0.99783716015116,0.0274385992278373,0.00365788872310993,0.379168567970477,0.540624344768633,0.618668592180683
LINC00670,CTRL,-1.43731144702614,0.0901084306449778,2.26042325207013e-06,3.3363371526597e-08,-0.157349392515714,0.431878114869115,0.247457823160692
SHMT1,CTRL,-0.710886476952224,0.153060298053056,0.0494408023694894,0.00830471262229688,-0.098748995197825,0.471254495895227,0.251809293250881
LINC01563,CTRL,0.610814480581863,0.311064246382799,0.0121203190319863,0.00121918051182217,0.108064125203099,0.543128336639732,0.2030001211797
FAM27E5,CTRL,-1.85368051361754,0.0533574348265003,1.32925473819767e-06,1.79835924805348e-08,-0.144736982147308,0.447230689827583,0.198094416973808
FLJ36000,CTRL,-2.08607203593691,0.0259679033951557,1.04168831674064e-05,1.96752612047683e-07,-0.090807224378014,0.453123739939678,0.11677512777317
MTRNR2L1,CTRL,-0.985321646655216,0.0621667014369958,0.0285459440453588,0.00387700831705972,-0.0628754934247028,0.475665715069112,0.125042194861699
WSB1,CTRL,-0.854909440687991,0.249190662181738,7.0408126836774e-05,1.85449215066562e-06,-0.203130623728951,0.433152287866325,0.452321285910689
SDF2,CTRL,1.12408088460269,0.257170612702072,0.0314251734369864,0.00446101880332756,0.140268981109978,0.527386655053951,0.116901631592094
PHF12,CTRL,-0.61445011499247,0.444447651983108,0.00142409079893453,7.50187606774918e-05,-0.237056518057226,0.439789277592297,0.681504170040334
BLMH,CTRL,-0.932708475335267,0.091999959894477,0.0366432387875462,0.00546377128402816,-0.0854397527616407,0.471458121643199,0.177439712656118
OMG,CTRL,-0.898579986092577,0.0747811004860544,0.0339074103391878,0.00492160157343063,-0.0663634841985471,0.469867421493202,0.141144584684601
COPRS,CTRL,-0.617940226549481,0.227791067447341,0.0279111501618387,0.00375809418637022,-0.122869559363124,0.465149755649102,0.350660626810465
SLFN5,CTRL,-0.937612028346794,0.173566246542089,5.03428107533193e-05,1.24870670608944e-06,-0.160712844250355,0.436146191190465,0.334279090792444
SLFN11,CTRL,-1.25894535013166,0.101869501921633,0.000239848851048327,8.19722991075979e-06,-0.144722935533867,0.44701295140401,0.2465924374555
SLFN12,CTRL,-1.31201809785724,0.035716896860951,0.0154858988761764,0.00167408359831333,-0.0559417739299116,0.477824954436219,0.0916586707908626
LINC02001,CTRL,-0.731064497247928,0.221206717807078,0.0206468967392162,0.00248344860358631,-0.147291238357311,0.469746455702327,0.368497956164389
SNORD7,CTRL,-0.773581535656138,0.34410825997095,0.0151622778529605,0.00162746110751054,-0.245572426426106,0.469786777632619,0.589680686397055
AATF,CTRL,-0.688007949176393,0.18736350374521,0.0049791249480436,0.000376139761365497,-0.11571688950236,0.454012838502605,0.30308039324757
DUSP14,CTRL,-1.04761720271599,0.263323337082447,0.000213073907549056,7.09270824191736e-06,-0.283138532858918,0.440952565281205,0.546461869941366
CISD3,CTRL,-1.0434382095114,0.223843408781391,0.0121755552725753,0.0012276878872242,-0.239658613215002,0.466548926630216,0.463502021996393
NEUROD2,CTRL,-0.61175607665322,0.275331281654701,0.0267323248343468,0.00352377700308934,-0.146467920515356,0.463928001161272,0.421799202170057
IKZF3,CTRL,-0.751482823166434,0.195483874277106,0.0407855948859166,0.00627914285005365,-0.134990120226723,0.464067111820777,0.330473994503829
TMEM99,CTRL,-1.00360554814944,0.084680684376836,0.00064247442672778,2.7537584501825e-05,-0.0871225590426219,0.463621554491057,0.171803243419458
KRT10,CTRL,-0.875350363946994,0.149005949122419,0.00110270937200789,5.36492640463217e-05,-0.1260141506851,0.461270785955065,0.27502009980752
KRT12,CTRL,-0.821575616386021,0.0548413611723888,0.00132478365597909,6.82353303683418e-05,-0.0436225352244182,0.467484395412977,0.0984638963968071
KRT23,CTRL,-0.787944245175083,0.0611585891326556,0.00180249763725776,0.000102379885189642,-0.0458976495593981,0.464635651037887,0.107056238692054
KRTAP16-1,CTRL,-2.75081157051787,0.00954621433222025,0.0189158242369566,0.00219830711651808,-0.0662168858775533,0.488980016451348,0.0757631002097736
KRT31,CTRL,-2.15278312275346,0.0212388724413345,0.03910530059204,0.00596311020708455,-0.0801285487242052,0.486903437041338,0.10136742116554
LOC100505782,CTRL,-1.07655993418606,0.0506063597867347,0.0441479381890321,0.00701794202043472,-0.0583494251692422,0.482052708827277,0.108955784955977
KRT13,CTRL,-2.12213536055176,0.0595662628039198,0.00249728914439574,0.000156774150860102,-0.206481898448123,0.473818970661764,0.266048161252043
KRT15,CTRL,-1.54390292162896,0.0918332823314075,0.000276593448499943,1.00004498831481e-05,-0.179783306035637,0.463008661150627,0.271616588367044
KRT19,CTRL,-1.24571383364829,0.136375422447647,0.0145346125284382,0.00154130071451685,-0.189773337816889,0.467347300849986,0.326148760264536
CAVIN1,CTRL,-0.647735167390741,0.253909612443007,0.0426656406375588,0.00667239939510604,-0.14503025670274,0.464524765729585,0.398939869145748
ITGA2B,CTRL,0.661192195787327,0.375763037341303,0.0378265375470171,0.00570897407593343,0.13888544719194,0.532757536168771,0.236877590149363
DLX3,CTRL,-0.612715504828153,0.409128386537032,0.0319667415271566,0.00455021057116733,-0.217546548564251,0.459137755842648,0.626674935101283
CA10,CTRL,-0.639838904104401,0.398558292350337,1.02801112172974e-05,1.92694982824028e-07,-0.223578161358085,0.415130401122563,0.622136453708421
RNF43,CTRL,-0.768272489796387,0.414612591112557,1.61932086069391e-06,2.23724543248492e-08,-0.292979739016585,0.412259479685812,0.707592330129142
MIR21,CTRL,-1.19063834394546,0.171100435994551,0.00130808581285826,6.70582894286634e-05,-0.2220180420605,0.458446234738149,0.393118478055051
TBX4,CTRL,0.643169427453561,0.39598586480137,0.0130188089380038,0.00133270024436057,0.143156522199102,0.549176626183449,0.252829342602268
CSH1,CTRL,1.45639114422902,0.216068394649112,0.0195312341291193,0.00230368392019473,0.138608606170247,0.52131014015903,0.0774597884788646
SCN4A,CTRL,0.640233800830822,0.442851269089836,0.003254517994965,0.000218510499621549,0.159433586619755,0.549543555749101,0.283417682470081
MILR1,CTRL,1.15053496643728,0.159554291086523,0.0173697846088993,0.00195333156618627,0.0887852554493409,0.527471331107563,0.0707690356371821
CD300LF,CTRL,0.637147154535922,0.129070312833136,0.0155964431081297,0.00168909658000729,0.0467971772645565,0.527701166110224,0.0822731355685791
GALK1,CTRL,0.705299834657442,0.450945744855128,0.0194924701546787,0.00229698373762615,0.175150426542454,0.537773584297027,0.275795318312674
GALR2,CTRL,0.71101914506953,0.512483909325617,0.0295935439249014,0.00408217685569055,0.200194759848081,0.530668860179675,0.312289149477536
CARD14,CTRL,0.853097767328073,0.222399644061937,0.00382653397328627,0.000268664298520302,0.100176759084585,0.539172755278141,0.122222884977352
PDE6G,CTRL,0.879637467262268,0.445238760651616,0.00939128815605748,0.000869549666869344,0.204166376196484,0.538757439396139,0.241072384455133
TEX19,CTRL,0.801212552043666,1.12723713177758,4.62491788863963e-06,7.77234322402071e-08,0.481209021266212,0.581359574845567,0.646028110511372
UTS2R,CTRL,0.68469611091134,1.11010040040402,0.0470067163112704,0.00770785576098597,0.42022478470144,0.53559216786826,0.689875615702584
NARF,CTRL,0.776157921580494,0.638030073491713,1.95046217148567e-05,4.0893991556963e-07,0.266307198190468,0.579256786180868,0.371722875301245
METTL4,CTRL,-0.790281112219124,0.163011969392686,0.0309632076084037,0.00437515211399004,-0.120367471873085,0.465004596700053,0.28337944126577
TGIF1,CTRL,-0.754097389141695,0.379154453802445,2.13479026025264e-05,4.54485928396681e-07,-0.261697041237009,0.421331914001387,0.640851495039454
DLGAP1-AS1,CTRL,-0.958539568350176,0.162009922234056,0.00111577492716914,5.44049582731336e-05,-0.154724970242728,0.465383622844793,0.316734892476784
LINC00667,CTRL,-1.29281256343384,0.0414136895906743,0.0427031970338103,0.00668649881647607,-0.0629637687328433,0.482911565942485,0.104377458323518
PTPRM,CTRL,-1.09812061026539,0.486634328741929,9.9921279147043e-15,1.57426269965851e-17,-0.557421879965013,0.355970064998952,1.04405620870694
PPP4R1-AS1,CTRL,-0.918084371946111,0.214355450093732,0.00329808845891839,0.000223167898872437,-0.192477946233858,0.456036999403235,0.40683339632759
GNAL,CTRL,-0.62368033794534,0.332142569945646,0.000195411983370547,6.39426785691778e-06,-0.180708905994803,0.429997096821019,0.512851475940448
CHMP1B,CTRL,-0.657727399862882,0.347995981089698,0.0267470278874782,0.00352775667915784,-0.202160765304299,0.466863437686489,0.550156746393997
MC5R,CTRL,-0.942881996284041,0.204989988762435,0.0119279009891257,0.00119211549838801,-0.19092764934085,0.465274753633006,0.395917638103285
ANKRD30B,CTRL,-1.11996063477194,0.0263273155205922,0.0169741332627775,0.00189599573691444,-0.0332489922081826,0.476738278414864,0.0595763077287748
SNRPD1,CTRL,1.05737527394235,0.34445186209151,0.00663062194804738,0.000544024932394127,0.179984023784805,0.540358220028709,0.164467838306705
ABHD3,CTRL,0.647419918438636,0.449158613305951,0.0190003221273849,0.00221289200505981,0.163132370794491,0.542650521765778,0.28602624251146
DSC3,CTRL,0.791545211927492,0.636481912680886,6.76546941218014e-07,8.08992060275237e-09,0.269618352458256,0.590849341139659,0.36686356022263
DSC2,CTRL,0.825898253007385,0.367981991114377,0.00261801975223376,0.00016710314327096,0.161267235823697,0.546837954226545,0.20671475529068
DSCAS,CTRL,0.78434793491539,0.351052365550288,0.010734188801038,0.00103796052144807,0.148068474164053,0.541162642538024,0.202983891386235
DSC1,CTRL,0.717964362080024,0.308791145742989,0.00176273174513109,9.94803364283806e-05,0.121847369578261,0.559236947791165,0.186943776164729
DSG2,CTRL,0.746275269750288,0.355263092696909,0.0011642448392923,5.77560257999088e-05,0.144287273452569,0.550470960145804,0.21097581924434
SLC25A52,CTRL,1.10334502596267,0.489572324633709,8.26528760481682e-08,7.31234542075981e-10,0.262781119650846,0.584696214577184,0.226791204982863
TRAPPC8,CTRL,0.74241629403573,0.855815231380955,1.11895473279384e-08,7.5036957923478e-11,0.345070220986029,0.609310736923598,0.510745010394926
RNF125,CTRL,0.670099803996758,1.42542364190012,6.91383184182903e-10,2.90560273474365e-12,0.53034338298461,0.6233951871744,0.895080258915505
RNF138,CTRL,0.673398166171916,0.95346183051028,4.90757365655593e-05,1.21133049372048e-06,0.356363480461989,0.576966500540314,0.59709835004829
KLHL14,CTRL,0.749226284378278,0.593712795415494,2.56690876120242e-09,1.46212383990281e-11,0.241313086719581,0.611994161384494,0.352399708695913
ASXL3,CTRL,0.7112498323601,0.960261099543208,8.17348079403939e-10,3.79716527152997e-12,0.374524027140025,0.621623038338091,0.585737072403184
ZNF397,CTRL,0.663444129698165,0.678062254154194,4.9317228142693e-06,8.36763182513172e-08,0.250694829396052,0.583571232722053,0.427367424758142
ZNF24,CTRL,0.949396943413354,0.664899809869723,5.64472962302545e-07,6.52174465615771e-09,0.321550362203753,0.580280963210271,0.34334944766597
ZNF396,CTRL,0.815250127886952,0.426716731601111,0.00305066787987687,0.000202339581564056,0.185076215938625,0.549888308253093,0.241640515662486
INO80C,CTRL,0.706861768964709,0.679066161440961,7.96963277106933e-06,1.43591185905184e-07,0.263813159897224,0.586476427799552,0.415253001543737
MIR187,CTRL,0.83188846840426,0.548391534124344,0.00289499185546653,0.000189927558102838,0.241188733107272,0.547795600070967,0.307202801017072
MIR3929,CTRL,1.56692664125065,0.603126395493419,2.47272059722509e-05,5.43411167847802e-07,0.400885426300178,0.558777277785842,0.202240969193241
C18orf21,CTRL,0.637187083480181,0.728355506220089,0.000306085731100488,1.12646077818754e-05,0.260765083798186,0.561470782729311,0.467590422421903
RPRD1A,CTRL,0.655949627810336,0.603678589499972,0.000120181362658566,3.54417042662815e-06,0.221283002836902,0.571789164690892,0.38239558666307
SLC39A6,CTRL,0.980624712060652,0.7248314346266,6.60371258736415e-08,5.62892201637649e-10,0.358506112243956,0.591700133868809,0.366325322382644
ELP2,CTRL,0.930237413172954,0.678455849294861,6.93443878507787e-08,5.99486911208962e-10,0.323375505066562,0.592171900453219,0.355080344228299
MOCOS,CTRL,0.792920893529858,0.458899578370237,0.000114052606823167,3.32657276102151e-06,0.194883557343631,0.566353768487605,0.264016021026606
CELF4,CTRL,0.659032673076272,1.61927492034767,1.58116545603982e-11,4.6628859291794e-14,0.594519944806818,0.634892985597006,1.02475497554085
RIT2,CTRL,-0.894890351505257,0.210666666752206,0.000343878506775222,1.28360564054418e-05,-0.182787216241206,0.43607361171594,0.393453882993411
LINC01478,CTRL,-0.885479567852039,0.134929734106623,7.5574839411595e-06,1.34638863135305e-07,-0.116038133812854,0.43018257770036,0.250967867919477
SETBP1,CTRL,-1.32341823580032,0.3376787168057,6.0670013935029e-19,5.88220220748443e-22,-0.510407721597391,0.342579151949162,0.848086438403091
MIR4319,CTRL,-1.01942729877843,0.116044142569229,0.00755251044561011,0.000649868596960069,-0.121253053637856,0.4652324156062,0.237297196207085
SMAD7,CTRL,-0.746971744915597,0.697471884105233,2.82738814102518e-08,2.0902158431268e-10,-0.474433728263831,0.387290124352833,1.17190561236906
C18orf32,CTRL,-0.65407307781235,0.568614335617657,0.00431629048342005,0.000313338207914108,-0.327311613604916,0.442146094417832,0.895925949222573
RPL17-C18orf32,CTRL,-0.753359379116003,0.410194603516541,0.00592295717259573,0.000468735279191849,-0.28265292121684,0.453039063886066,0.692847524733382
MIR1539,CTRL,-0.883956814573038,0.505312936465649,0.00939128815605748,0.000869214069627889,-0.428904236427271,0.461758681311592,0.93421717289292
RPL17,CTRL,-0.670666114139629,0.512178470210639,0.0220687466253658,0.00272092650483221,-0.304299561967729,0.460944178319705,0.816478032178368
MYO5B,CTRL,-0.807317759482687,0.4801122988741,1.59905398592253e-07,1.53096790281829e-09,-0.361568515277983,0.399791938839696,0.841680814152083
SNHG22,CTRL,-0.72714810528023,0.209512013007447,4.53039716877232e-05,1.10542130158297e-06,-0.138622530003219,0.432597861324817,0.348134543010667
MAPK4,CTRL,-0.658262784065774,0.32575100162354,0.000121473151830312,3.60189437842163e-06,-0.18950408460691,0.424472992371091,0.51525508623045
MRO,CTRL,-0.81230683182228,0.188240891141948,1.31773277393349e-06,1.77266305938374e-08,-0.143831424890512,0.41698117772294,0.33207231603246
ME2,CTRL,-0.819293795319447,0.20256626825006,0.00209032560859216,0.000125230382061169,-0.156405651130984,0.446696424251222,0.358971919381044
MIR4529,CTRL,-0.719191904897529,0.192068299362386,0.0304186388834781,0.00424071757238762,-0.125423703754649,0.468175916517476,0.317492003117035
PMAIP1,CTRL,-0.624589632617006,1.0453352284991,5.11887036496682e-05,1.28002777567846e-06,-0.567421476752816,0.418186803438654,1.61275670525191
CDH7,CTRL,-0.84049980245418,0.149297184398652,0.00220040265952275,0.000134047313992094,-0.119632554300878,0.447565361849002,0.268929738699529
LINC01909,CTRL,-1.28545006338567,0.0540321361434269,0.0372663835943185,0.00559281793055237,-0.0805622720030292,0.478286640538056,0.134594408146456
KCNG2,CTRL,0.693739685479031,0.145263002083164,0.0435309757496247,0.00687884246288659,0.0562208388124793,0.529340252576571,0.0890421632706849
PLPP2,CTRL,-0.898949215442637,0.065003964178482,0.0432634306627932,0.00679868891000508,-0.0579457645274543,0.481076918114224,0.122949728705936
C2CD4C,CTRL,-1.41814747287541,0.120313116192338,0.0016961389951036,9.4214717551404e-05,-0.204572496193801,0.465550958855502,0.32488561238614
MISP,CTRL,0.783546904457156,0.255034158634701,0.00879898524092413,0.000796897547119722,0.107716926228382,0.537434880082579,0.147317232406319
CNN2,CTRL,-0.653004127018918,0.589517963148961,0.000639111922460019,2.73676431206116e-05,-0.338612597977846,0.436740939662264,0.928130561126807
CBARP,CTRL,-0.604554362945199,0.365746939427915,0.0142620542903133,0.00150202696674666,-0.191419775256302,0.459188158255512,0.557166714684217
ATP5F1D,CTRL,-0.603755694442616,0.478632524050644,0.0187135564450204,0.0021575700934834,-0.249773273614079,0.462329236625216,0.728405797664723
MIDN,CTRL,-0.750317521995174,0.711580104707751,7.08413858006993e-05,1.8716274668198e-06,-0.486783435709699,0.425860066773117,1.19836354041745
AMH,CTRL,-1.1979586490183,0.167347249990243,0.0103997799593894,0.000996957172320879,-0.219170849079216,0.469887582458347,0.386518099069459
MIR4321,CTRL,-1.18718865722519,0.187560034965149,0.0366878086880567,0.00547338117011366,-0.242094687921212,0.477171739165497,0.429654722886361
STAP2,CTRL,0.606452998458453,1.05652592385821,0.00329334948621396,0.000222581146095013,0.363278748358568,0.558954694279124,0.693247175499647
DPP9-AS1,CTRL,0.731414708199848,0.402050182046482,0.026764284260441,0.00353749503322625,0.160688700863328,0.529963226399574,0.241361481183153
SAFB,CTRL,-0.775916508670985,0.276951855403072,0.00908440557853016,0.00083049243856402,-0.198696843949461,0.4541781584168,0.475648699352533
DENND1C,CTRL,0.711551875072817,0.35708220218386,0.0163671508578297,0.00180571580321293,0.139807147279624,0.534932904307995,0.217275054904236
CD70,CTRL,0.897459900495846,0.358369434362049,0.000276593448499943,9.99542725181692e-06,0.166915642595311,0.559301462879631,0.191453791766738
C3,CTRL,0.706118441791846,0.458533970890447,0.00630680164485564,0.000510412739656889,0.178244904772935,0.547789551781423,0.280289066117511
SH2D3A,CTRL,-0.840288946980319,0.230429753212123,0.00139729615865323,7.33193498155394e-05,-0.183720846344531,0.450873776229416,0.414150599556654
